time,sfe,ssip,rfip,type
"22/10/2024, 12:33:22",90,10,1.0,0
"22/10/2024, 12:33:25",90,10,1.0,0
"22/10/2024, 12:33:28",90,10,1.0,0
"22/10/2024, 12:33:31",90,10,1.0,0
"22/10/2024, 12:33:34",90,10,1.0,0
"22/10/2024, 12:33:37",90,10,1.0,0
"22/10/2024, 12:33:40",90,10,1.0,0
"22/10/2024, 12:33:43",90,10,1.0,0
"22/10/2024, 12:33:46",90,10,1.0,0
"22/10/2024, 12:33:49",90,10,1.0,0
"22/10/2024, 12:33:52",90,10,1.0,0
"22/10/2024, 12:33:55",90,10,1.0,0
"22/10/2024, 12:33:58",90,10,1.0,0
"22/10/2024, 12:34:01",90,10,1.0,0
"22/10/2024, 12:34:22",90,10,1.0,0
"22/10/2024, 12:34:07",90,10,1.0,0
"22/10/2024, 12:34:10",90,10,1.0,0
"22/10/2024, 12:34:13",90,10,1.0,0
"22/10/2024, 12:34:10",90,10,1.0,0
"22/10/2024, 12:34:19",90,10,1.0,0
"22/10/2024, 12:34:22",90,10,1.0,0
"22/10/2024, 12:34:25",90,10,1.0,0
"22/10/2024, 12:34:28",90,10,1.0,0
"22/10/2024, 12:34:31",90,10,1.0,0
"22/10/2024, 12:34:34",90,10,1.0,0
"22/10/2024, 12:34:37",90,10,1.0,0
"22/10/2024, 12:34:40",90,10,1.0,0
"22/10/2024, 12:34:43",90,10,1.0,0
"22/10/2024, 12:34:47",90,10,1.0,0
"22/10/2024, 12:34:50",90,10,1.0,0
"22/10/2024, 12:34:53",90,10,1.0,0
"22/10/2024, 12:34:56",90,10,1.0,0
"22/10/2024, 12:34:59",90,10,1.0,0
"22/10/2024, 12:35:10",90,10,1.0,0
"22/10/2024, 12:35:22",90,10,1.0,0
"22/10/2024, 12:35:08",90,10,1.0,0
"22/10/2024, 12:35:11",90,10,1.0,0
"22/10/2024, 12:35:12",90,10,1.0,0
"22/10/2024, 12:35:17",90,10,1.0,0
"22/10/2024, 12:35:20",90,10,1.0,0
"22/10/2024, 12:35:10",90,10,1.0,0
"22/10/2024, 12:35:26",90,10,1.0,0
"22/10/2024, 12:35:29",90,10,1.0,0
"22/10/2024, 12:35:32",90,10,1.0,0
"22/10/2024, 12:35:35",90,10,1.0,0
"22/10/2024, 12:35:38",90,10,1.0,0
"22/10/2024, 12:35:41",90,10,1.0,0
"22/10/2024, 12:35:44",90,10,1.0,0
"22/10/2024, 12:35:47",90,10,1.0,0
"22/10/2024, 12:35:50",90,10,1.0,0
"22/10/2024, 12:35:53",90,10,1.0,0
"22/10/2024, 12:35:56",90,10,1.0,0
"22/10/2024, 12:35:59",90,10,1.0,0
"22/10/2024, 12:36:10",90,10,1.0,0
"22/10/2024, 12:36:22",90,10,1.0,0
"22/10/2024, 12:36:08",90,10,1.0,0
"22/10/2024, 12:36:11",90,10,1.0,0
"22/10/2024, 12:36:12",90,10,1.0,0
"22/10/2024, 12:36:17",90,10,1.0,0
